Drug Disease Matching,Drug Effectiveness Assessment,Drug Target Analysis,Drug Disease Matching_Closest,Drug Effectiveness Assessment_Closest,Drug Target Analysis_Closest
'Decitabine cytotoxicity is promoted by dCMP deaminase DCTD and mitigated by SUMO-dependent E3 ligase TOPORS.txt','Effect of proton pump inhibitors on platelet inhibition activity of clopidogrel in Chinese patients with percutaneous coronary intervention.txt','PI3K AKT mTOR signaling transduction pathway and targeted therapies in cancer.txt',Decitabine cytotoxicity is promoted by dCMP deaminase DCTD and mitigated by SUMO-dependent E3 ligase TOPORS.txt,Effect of proton pump inhibitors on platelet inhibition activity of clopidogrel in Chinese patients with percutaneous coronary intervention.txt,PI3K AKT mTOR signaling transduction pathway and targeted therapies in cancer.txt
 'Decreased SMAD4 expression is associated with induction of epithelial-to-mesenchymal transition and cetuximab resistance in head and neck squamous cell carcinoma.txt', 'Phase 2 study of subcutaneous omacetaxine mepesuccinate for chronic-phase chronic myeloid leukemia patients resistant to or intolerant of tyrosine kinase inhibitors.txt', 'Development of Simple and Accurate in Silico Ligand-Based Models for Predicting ABCG2 Inhibition.txt',Decreased SMAD4 expression is associated with induction of epithelial-to-mesenchymal transition and cetuximab resistance in head and neck squamous cell carcinoma.txt,Phase 2 study of subcutaneous omacetaxine mepesuccinate for chronic-phase chronic myeloid leukemia patients resistant to or intolerant of tyrosine kinase inhibitors.txt,Development of Simple and Accurate in Silico Ligand-Based Models for Predicting ABCG2 Inhibition.txt
 'Diosgenone synthesis, 'Evaluation of different diagnostic methods for spinal tuberculosis infection.txt', 'Overexpression of ABCG2 Confers Resistance to MLN7243,Total synthesis of ningalin D.txt,Evaluation of different diagnostic methods for spinal tuberculosis infection.txt,Overexpression of COL11A1 confers tamoxifen resistance in breast cancer.txt
 anti-malarial activity and QSAR of analogues of this natural product.txt', 'Sustained efficacy of insulin pump therapy compared with multiple daily injections in type 2 diabetes  12-month data from the OpT2mise randomized trial.txt', a Ubiquitin-Activating Enzyme (UAE) Inhibitor.txt',"Diosgenone synthesis, anti-malarial activity and QSAR of analogues of this natural product.txt",Sustained efficacy of insulin pump therapy compared with multiple daily injections in type 2 diabetes  12-month data from the OpT2mise randomized trial.txt,"Overexpression of ABCG2 Confers Resistance to MLN7243, a Ubiquitin-Activating Enzyme (UAE) Inhibitor.txt"
 'Identification of non-nucleoside DNA synthesis inhibitors of vaccinia virus by high-throughput screening.txt', 'In Vitro Activities of Aztreonam-Avibactam, 'DNMT3A R882H mutation drives daunorubicin resistance in acute myeloid leukemia via regulating NRF2 NQO1 pathway.txt',Identification of non-nucleoside DNA synthesis inhibitors of vaccinia virus by high-throughput screening.txt,Inactivation of biofilm bacteria.txt,DNMT3A R882H mutation drives daunorubicin resistance in acute myeloid leukemia via regulating NRF2 NQO1 pathway.txt
 'Identification of matrine as a promising novel drug for hepatic steatosis and glucose intolerance with HSP72 as an upstream target.txt', Eravacycline, 'The MerR-like regulator BrlR confers biofilm tolerance by activating multidrug efflux pumps in Pseudomonas aeruginosa biofilms.txt',Identification of matrine as a promising novel drug for hepatic steatosis and glucose intolerance with HSP72 as an upstream target.txt,Porcine E.txt,The MerR-like regulator BrlR confers biofilm tolerance by activating multidrug efflux pumps in Pseudomonas aeruginosa biofilms.txt
 'Activity of 2, Cefoselis, 'Exometabolome analysis identifies pyruvate dehydrogenase as a target for the antibiotic triphenylbismuthdichloride in multiresistant bacterial pathogens.txt',Anti-cancer activity of C.txt,Colistin vs.txt,Exometabolome analysis identifies pyruvate dehydrogenase as a target for the antibiotic triphenylbismuthdichloride in multiresistant bacterial pathogens.txt
'3D QSAR studies,'In vivo comparison of CXA-101 (FR264205) with and without tazobactam versus piperacillin-tazobactam using human simulated exposures against phenotypically diverse gram-negative organisms.txt','The selectivity of action of alkylating agents and drug resistance.txt',Clinical studies with MTA.txt,In vivo comparison of CXA-101 (FR264205) with and without tazobactam versus piperacillin-tazobactam using human simulated exposures against phenotypically diverse gram-negative organisms.txt,The selectivity of action of alkylating agents and drug resistance.txt
 pharmacophore modeling and virtual screening on a series of steroidal aromatase inhibitors.txt', 'Disproportionality analysis of quinolone safety in children using data from the FDA adverse event reporting system (FAERS).txt', 'MRTF-A can activate Nrf2 to increase the resistance to doxorubicin.txt',"3D QSAR studies, pharmacophore modeling and virtual screening on a series of steroidal aromatase inhibitors.txt",Disproportionality analysis of quinolone safety in children using data from the FDA adverse event reporting system (FAERS).txt,MRTF-A can activate Nrf2 to increase the resistance to doxorubicin.txt
 'HIV-1 gp41-targeting fusion inhibitory peptides enhance the gp120-targeting protein-mediated inactivation of HIV-1 virions.txt', 'Doxycycline HCl (Vibramycin) as a single dose oral treatment of gonorrhoea in women.txt', 'Targeted inhibition of RBPJ transcription complex alleviates the exhaustion of CD8+ T cells in hepatocellular carcinoma.txt',HIV-1 gp41-targeting fusion inhibitory peptides enhance the gp120-targeting protein-mediated inactivation of HIV-1 virions.txt,Doxycycline HCl (Vibramycin) as a single dose oral treatment of gonorrhoea in women.txt,Targeted inhibition of RBPJ transcription complex alleviates the exhaustion of CD8+ T cells in hepatocellular carcinoma.txt
