Drug Disease Matching,Drug Effectiveness Assessment,Drug Target Analysis
'Decitabine cytotoxicity is promoted by dCMP deaminase DCTD and mitigated by SUMO-dependent E3 ligase TOPORS.txt','Effect of proton pump inhibitors on platelet inhibition activity of clopidogrel in Chinese patients with percutaneous coronary intervention.txt','PI3K AKT mTOR signaling transduction pathway and targeted therapies in cancer.txt'
 'Decreased SMAD4 expression is associated with induction of epithelial-to-mesenchymal transition and cetuximab resistance in head and neck squamous cell carcinoma.txt', 'Phase 2 study of subcutaneous omacetaxine mepesuccinate for chronic-phase chronic myeloid leukemia patients resistant to or intolerant of tyrosine kinase inhibitors.txt', 'Development of Simple and Accurate in Silico Ligand-Based Models for Predicting ABCG2 Inhibition.txt'
 'Diosgenone synthesis, 'Evaluation of different diagnostic methods for spinal tuberculosis infection.txt', 'Overexpression of ABCG2 Confers Resistance to MLN7243
 anti-malarial activity and QSAR of analogues of this natural product.txt', 'Sustained efficacy of insulin pump therapy compared with multiple daily injections in type 2 diabetes  12-month data from the OpT2mise randomized trial.txt', a Ubiquitin-Activating Enzyme (UAE) Inhibitor.txt'
 'Identification of non-nucleoside DNA synthesis inhibitors of vaccinia virus by high-throughput screening.txt', 'In Vitro Activities of Aztreonam-Avibactam, 'DNMT3A R882H mutation drives daunorubicin resistance in acute myeloid leukemia via regulating NRF2 NQO1 pathway.txt'
 'Identification of matrine as a promising novel drug for hepatic steatosis and glucose intolerance with HSP72 as an upstream target.txt', Eravacycline, 'The MerR-like regulator BrlR confers biofilm tolerance by activating multidrug efflux pumps in Pseudomonas aeruginosa biofilms.txt'
 'Activity of 2, Cefoselis, 'Exometabolome analysis identifies pyruvate dehydrogenase as a target for the antibiotic triphenylbismuthdichloride in multiresistant bacterial pathogens.txt'
4-diaminoquinazoline compounds against Candida species.txt', and Other Comparators against Clinical Enterobacterales Isolates  a Multicenter Study in China,
, 2019.txt',
'3D QSAR studies,'In vivo comparison of CXA-101 (FR264205) with and without tazobactam versus piperacillin-tazobactam using human simulated exposures against phenotypically diverse gram-negative organisms.txt','The selectivity of action of alkylating agents and drug resistance.txt'
 pharmacophore modeling and virtual screening on a series of steroidal aromatase inhibitors.txt', 'Disproportionality analysis of quinolone safety in children using data from the FDA adverse event reporting system (FAERS).txt', 'MRTF-A can activate Nrf2 to increase the resistance to doxorubicin.txt'
 'HIV-1 gp41-targeting fusion inhibitory peptides enhance the gp120-targeting protein-mediated inactivation of HIV-1 virions.txt', 'Doxycycline HCl (Vibramycin) as a single dose oral treatment of gonorrhoea in women.txt', 'Targeted inhibition of RBPJ transcription complex alleviates the exhaustion of CD8+ T cells in hepatocellular carcinoma.txt'
 'Third-generation inhibitors targeting EGFR T790M mutation in advanced non-small cell lung cancer.txt', 'Activity of Omadacycline Alone and in Combination against Carbapenem-Nonsusceptible Acinetobacter baumannii with Varying Minocycline Susceptibility.txt', 'Upregulation of microRNA-143 reverses drug resistance in human breast cancer cells via inhibition of cytokine-induced apoptosis inhibitor 1.txt'
 'New InhA Inhibitors Based on Expanded Triclosan and Di-Triclosan Analogues to Develop a New Treatment for Tuberculosis.txt', 'Pazopanib exposure decreases as a result of an ifosfamide-dependent drug-drug interaction  results of a phase I study.txt', 'PIK3CA PTEN mutations and Akt activation as markers of sensitivity to allosteric mTOR inhibitors.txt'
 'Pharmacological Efficacy of Repurposing Drugs in the Treatment of Prostate Cancer.txt', 'Therapeutic drug monitoring of nevirapine in saliva in Uganda using high performance liquid chromatography and a low cost thin-layer chromatography technique.txt', 'Enzymatic and structural analysis of the I47A mutation contributing to the reduced susceptibility to HIV protease inhibitor lopinavir.txt'
 'Androgen synthesis inhibitors in the treatment of castration-resistant prostate cancer.txt',, 'Inhibition of hepatitis B virus polymerase by entecavir.txt'
,, 'A mechanistic framework for in vitro-in vivo extrapolation of liver membrane transporters  prediction of drug-drug interaction between rosuvastatin and cyclosporine.txt'
'Medicinal plants--prophylactic and therapeutic options for gastrointestinal and respiratory diseases in calves and piglets.txt','Increase of transmitted drug resistance among HIV-infected sub-Saharan Africans residing in Spain in contrast to the native population.txt','The heme oxygenase 1 inducer (CoPP) protects human cardiac stem cells against apoptosis through activation of the extracellular signal-regulated kinase (ERK) NRF2 signaling pathway and cytokine release.txt'
 'A cure for AIDS  a matter of timing.txt', 'Adult and Pediatric Intra-Institutional Trends of Ciprofloxacin Susceptibility in E.txt', 'An epigenetic mechanism of resistance to targeted therapy in T cell acute lymphoblastic leukemia.txt'
 'Marine algal antagonists targeting 3CL protease and spike glycoprotein of SARS-CoV-2  a computational approach for anti-COVID-19 drug discovery.txt', 'Whole-genome sequencing identifies emergence of a quinolone resistance mutation in a case of Stenotrophomonas maltophilia bacteremia.txt', 'Identification of a chemically induced point mutation mediating herbicide tolerance in annual medics (Medicago spp.txt'
 'Inhibitors of the Hepatitis C Virus RNA-Dependent RNA Polymerase NS5B.txt', 'Resistance of human cytomegalovirus to antiviral drugs.txt', 'Discovery of a potent dual ALK and EGFR T790M inhibitor.txt'
 'Natural Products for Esophageal Cancer Therapy  From Traditional Medicine to Modern Drug Discovery.txt', 'Azithromycin Resistance and Decreased Ceftriaxone Susceptibility in Neisseria gonorrhoeae, 'Loss of 53BP1 causes PARP inhibitor resistance in Brca1-mutated mouse mammary tumors.txt'
 'FOXA1 MND1 TKT axis regulates gastric cancer progression and oxaliplatin sensitivity via PI3K AKT signaling pathway.txt', Hawaii, 'Significantly improved HIV inhibitor efficacy prediction employing proteochemometric models generated from antivirogram data.txt'
, USA.txt', 'Inference of kinase-signaling networks in human myeloid cell line models by Phosphoproteomics using kinase activity enrichment analysis (KAEA).txt'
, 'The Prevalence of Multidrug-Resistant Uropathogenic Bacterial Profile With Antibiotic Susceptibility Patterns Among the Community and Hospitalized Patients During COVID Waves.txt', 'A nicotinic acetylcholine receptor transmembrane point mutation (G275E) associated with resistance to spinosad in Frankliniella occidentalis.txt'
, 'Pharmacodynamics of polymyxin B against Pseudomonas aeruginosa.txt', 'Investigation of ligand binding to the multidrug resistance protein EmrE by isothermal titration calorimetry.txt'
, 'Efficacy and Safety of Vinorelbine Plus Cisplatin vs.txt',
, 'Response to Nivolumab and Ipilimumab in Microsatellite Instability-High (MSI-H) Cervical Carcinoma with Acquired Resistance to Pembrolizumab  A Case Report and Literature Review.txt',
'A perspective on anti-EGFR therapies targeting triple-negative breast cancer.txt','Antifungal susceptibility profiles and drug resistance mechanisms of clinical Candida duobushaemulonii isolates from China.txt','GPER-mediated proliferation and estradiol production in breast cancer-associated fibroblasts.txt'
 'Triptolide reduces cyst formation in a neonatal to adult transition Pkd1 model of ADPKD.txt', 'Susceptibility of a panel of virulent strains of Mycobacterium tuberculosis to reactive nitrogen intermediates.txt', 'Pincer movement  Reversing cisplatin resistance based on simultaneous glutathione depletion and glutathione S-transferases inhibition by redox-responsive degradable organosilica hybrid nanoparticles.txt'
 'Niclosamide Revitalizes Sorafenib through Insulin-like Growth Factor 1 Receptor (IGF-1R) Stemness and Metabolic Changes in Hepatocellular Carcinoma.txt', 'Protocol for the selection of Mycobacterium tuberculosis spontaneous resistant mutants to d-cycloserine.txt', 'ClC5 Decreases the Sensitivity of Multiple Myeloma Cells to Bortezomib via Promoting Prosurvival Autophagy.txt'
 'The Novel IGF-1R Inhibitor PB-020 Acts Synergistically with Anti-PD-1 and Mebendazole against Colorectal Cancer.txt', 'Treatment of severe nosocomial pneumonia  a prospective randomised comparison of intravenous ciprofloxacin with imipenem cilastatin.txt', 'Endoplasmic reticulum stress signaling and chemotherapy resistance in solid cancers.txt'
 'Inhibition of influenza viruses in vitro and in vivo by 1-adamantanamine hydrochloride.txt', 'Prevalence of Trichomonas vaginalis isolates with resistance to metronidazole and tinidazole.txt', 'IL-17A is produced by breast cancer TILs and promotes chemoresistance and proliferation through ERK1 2.txt'
 'Sclareolide enhances gemcitabine‑induced cell death through mediating the NICD and Gli1 pathways in gemcitabine‑resistant human pancreatic cancer.txt', 'Efficacy and safety of prolonged-release hyaluronic acid derivative vaginal application in the postpartum period  a prospective randomised clinical trial.txt', 'Circular RNA Eps15-homology domain-containing protein 2 induce resistance of renal cell carcinoma to sunitinib via microRNA-4731-5p ABCF2 axis.txt'
, 'Phase I, 'R-23b-3p Modulating Cytoprotective Autophagy and Glutamine Addiction in Sorafenib Resistant HepG2
, first-in-human trial of programmed cell death receptor-1 (PD-1) inhibitor, a Hepatocellular Carcinoma Cell Line.txt'
, JTX-4014,
, in adult patients with advanced,
, refractory,
, solid tumors.txt',
'P7170,'Quality of life analyses in patients with multiple myeloma  results from the Selinexor (KPT-330) Treatment of Refractory Myeloma (STORM) phase 2b study.txt','ATP-Sensitive Potassium Channels in Hyperinsulinism and Type 2 Diabetes  Inconvenient Paradox or New Paradigm.txt'
 a novel inhibitor of mTORC1 mTORC2 and Activin receptor-like Kinase 1 (ALK1) inhibits the growth of non small cell lung cancer.txt', 'Dasatinib in imatinib-resistant or -intolerant chronic-phase, 'Centractin (ARP1) associates with spectrin revealing a potential mechanism to link dynactin to intracellular organelles.txt'
 'Fullerene Derivatives Strongly Inhibit HIV-1 Replication by Affecting Virus Maturation without Impairing Protease Activity.txt', chronic myeloid leukemia patients  7-year follow-up of study CA180-034.txt', 'The lysine 65 residue in HIV-1 reverse transcriptase function and in nucleoside analog drug resistance.txt'
 'MK-8591 (4'-Ethynyl-2-Fluoro-2'-Deoxyadenosine) Exhibits Potent Activity against HIV-2 Isolates and Drug-Resistant HIV-2 Mutants in Culture.txt', 'Hemodynamic effects of peri-operative statin therapy in on-pump cardiac surgery patients.txt', 'Glycogen synthase kinase 3 regulates cell death and survival signaling in tumor cells under redox stress.txt'
 'Discovery of potent antimycobacterial agents targeting lumazine synthase (RibH) of Mycobacterium tuberculosis.txt', 'Substantial Impact of Altered Pharmacokinetics in Critically Ill Patients on the Antibacterial Effects of Meropenem Evaluated via the Dynamic Hollow-Fiber Infection Model.txt', 'TORC1 activates SREBP-1c and uncouples lipogenesis from gluconeogenesis.txt'
 'A Randomized Phase 2 Study of VT-1161 for the Treatment of Acute Vulvovaginal Candidiasis.txt', 'Blocking of ERK1 and ERK2 sensitizes human mesothelioma cells to doxorubicin.txt', 'CYP56 (Dit2p) in Candida albicans  characterization and investigation of its role in growth and antifungal drug susceptibility.txt'
 'Activity of tigecycline (GAR-936),,
 a novel glycylcycline,,
 against Enterococci in the mouse peritonitis model.txt',,
'Practical High-Throughput Method to Screen Compounds for Anthelmintic Activity against Caenorhabditis elegans.txt','Effect of mutations in the human immunodeficiency virus type 1 protease on cleavage of the gp41 cytoplasmic tail.txt','Identification of FtpA
 'Predictive biomarkers of immunotherapy response with pharmacological applications in solid tumors.txt', 'S-1153 inhibits replication of known drug-resistant strains of human immunodeficiency virus type 1.txt', a Dps-Like Protein Involved in Anti-Oxidative Stress and Virulence in Actinobacillus pleuropneumoniae.txt'
 'Structure-based discovery of potent inhibitors of Axl  design, 'Efficacy of PermaNet® 2.txt', 'Mutations in the tetA(B) gene that cause a change in substrate specificity of the tetracycline efflux pump.txt'
 synthesis, 'The Effect of Cinnamaldehyde on iNOS Activity and NO-Induced Islet Insulin Secretion in High-Fat-Diet Rats.txt', 'RPN2-mediated glycosylation of tetraspanin CD63 regulates breast cancer cell malignancy.txt'
 and biological evaluation.txt', 'Intrahippocampal administration of a domain antibody that binds aggregated amyloid-β reverses cognitive deficits produced by diet-induced obesity.txt', 'Genomic library screens for genes involved in n-butanol tolerance in Escherichia coli.txt'
 'A synthetic lethal screen identifies HDAC4 as a potential target in MELK overexpressing cancers.txt', 'Paclitaxel nanocrystals for overcoming multidrug resistance in cancer.txt', 'Inhibition of filovirus replication by the zinc finger antiviral protein.txt'
 'Inhibition of glutamine synthetase  a potential drug target in Mycobacterium tuberculosis.txt', 'Inhibition or knock out of inducible nitric oxide synthase result in resistance to bleomycin-induced lung injury.txt', 'Targeting PD-L2-RGMb overcomes microbiome-related immunotherapy resistance.txt'
 'Developing Folate-Conjugated miR-34a Therapeutic for Prostate Cancer  Challenges and Promises.txt', 'The timing of azithromycin treatment is not associated with the clinical prognosis of childhood Mycoplasma pneumoniae pneumonia in high macrolide-resistant prevalence settings.txt', 'Type I interferon gene transfer sensitizes melanoma cells to apoptosis via a target activity on mitochondrial function.txt'
